0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,5/m,6.0,-16,-1,-1,-2,0,49,150,Nw,5,F,g,EMPTY,100
,110/m,11.0,-13,+1,+1,+6,1/4,01,75m,NNw,50,.5,Ac,EMPTY,52
,v,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,1/4,01,75m,...,39,-,.,EMPTY,62
,1/cc,15.9,-16,-10,-10,-8,1/4,01,EMPTY,EMPTY,39,..,Ac,EMPTY,EMPTY
,1/2cc,19.1,-17,-9,-9,-7,1/2,01,75m,EMPTY,36,.4,Ac,EMPTY,62
,11/cc,19,-16,-11,-11,-9,1/4,02,70m,EMPTY,31,.3,Ac.cH,EMPTY,63
,30/m,18.4,-15,-5,-5,-2,0,01,70m,Nw,25,.3,cl,EMPTY,65
,40/m,19.1,-15,+1,+1,+4,0,02,55m,Nw,25,T.A,1c.,EMPTY,87
,18/m,18.2,-18,-2,-2,+3,0,02,70,Nw,25,Cle,ar,EMPTY,61
,25/m,18.5,-18,-4,-4,-1,0,02,70,Nw,25,cl,.Bor,-,73
,1/cc,18.5,-16,-10,-10,-6,1/4,02,70,Nw,24,EMPTY,'',a,83
,1/cc,20.0,-15,-7,-7,-5,1/4,02,80,Nw,16,.1,cH1,EMPTY,75
,1/2cc,21.8,-15,-8,-8,-6,1/4,02,80,Nw,12,.3,cH8,EMPTY,76
,1/cc,22.4,-15,-10,-10,-8,0,02,80,Nw,26,3,cH2,EMPTY,84
,25/m,22,-15,-4,-4,-1,0,03,60,NwN,27,3,m2,EMPTY,86
,40/m,22.4,-15,-1,-1,+2,0,03,70,NNw,20,.4h,ici,Ac.500,87
,50/m,21.9,-14,-5,-5,-2,0,02,40,NNw,4-,1.0,As,000',80
,25/m,22.4,-14,-4,-4,-2,0,47,35,NNw,87,1.0,As.,4000',89
,30/m,24.1,-14,-6,-6,-2,0,59,100,w,31,F,r,cr,100
,1/4cc,24.8,-15,+4,+4,+4,1/2,56,100',w,28,EMPTY,'','',100
,1/cc,26.5,-15,-7,-7,-5,1/2,77,100',w,53,FO,LG,IcING,100
,1/cc,31.8,-14,-7,-4,-3,1/2,49,100',w,43,Fo,--sLE,.T,100
,1/cc,EMPTY,-15,-10,-10,-7,1/2,49,75',sw,44,Fo,oG,EMPTY,100
,10/m,EMPTY,-11,-1,-1,+4,1/4,45,75',sw,31,Fo,oG,EMPTY,100
,EMPTY,EMPTY,m,is,sed,1,1,EMPTY,100',wsw,EMPTY,Fo,G,EMPTY,100
,1/cc,31.9,-15,-11,-11,-10,1/4,56,EMPTY,w,21,EMPTY,EMPTY,EMPTY,EMPTY
,1/cc,28.0,-15,-5,-5,-1,1/4,71,100',w,32,Fo,-+2L,EMPTY,100
,150/m,24.3,-15,-11,-11,+1,11/4,71,100',EMPTY,44,Fog,8Li,-LEs.,100
,EMPTY,m,isse,d,EMPTY,EMPTY,.,EMPTY,100',w,EMPTY,EMPTY,'',EMPTY,100
,EMPTY,m,iss,ed,EMPTY,EMPTY,EMPTY,.,EMPTY,w,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
,EMPTY,blow,wer,fre,zer,.,EMPTY,+30F,EMPTY,wNw,.,EMPTY,EMPTY,EMPTY,EMPTY
,EMPTY,Bo,xt,em,EMPTY,oo,igh,bec,1,EMPTY,tak,EMPTY,1,EMPTY,EMPTY
,1/2cc,+16.0,-18,-9-,to,-8,1/4,49,aus,EMPTY,38,was,left,open,EMPTY
,50/m,EMPTY,-18,-8,-9,-6,1/4,49,150',EMPTY,30,FoG,',/,100
,30/m,17.1,-17,-6,-8,-2,1/4,49,150',.,80,FoG,INTSl,.,100
,25/m,19.7,-16,-5,-6,-2,11/4,71,100',NNw,33,'',-,EMPTY,100
,1/2cc,20.5,-16,-9,-5,-6,11/4,70,150,w,27,'',EMPTY,EMPTY,10
,1/2cc,-16.0,-16,-11,-9,-8,1/4,70,200',w,42,FoG,..LTs,N,100
,1/5cc,14.9,-17,-5,-11,-2,1/4,71,200',w,52,Fo,G,EMPTY,100
,1/8cc,12.2,-15,-2,-5,+2,1/4,49,150',w,45,Fo,Lt,s.,100
,EMPTY,,,,-2,,,,150,wNw,,Fo,og,EMPTY,100
,,,,,,,,,,wNw,,1,o,,-
,,,,,,,,,,wNw,,,,,
